a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
bai#e#luo#si 白俄罗斯 
bai#fa 白发 
bai#fang 摆放 拜访 
bai#fei 白费 
bai#fei#dai#xing 百废待兴 
bai#fen ％ 百分 
bai#fen#bi 百分比 
bai#fen#dian 百分点 
bai#fen#zhi 百分之 百分制 
bai#fen#zhi#bai 百分之百 
bai#fen#zhi#yi 百分之一 
bai#fo 拜佛 
bai#gan 白干 
bai#gan#jiao#ji 百感交集 
bai#ge 白鸽 
bai#ge#zheng#liu 百舸争流 
bai#gei 败给 
bai#gong 白宫 
bai#gou 白沟 
bai#gu 白骨 
bai#guo 白果 
bai#hao 摆好 
bai#he 白河 百合 
bai#hua 白花 白话 白桦 百花 
bai#hua#hua 白花花 
bai#hua#qi#fang 百花齐放 
bai#hua#yuan 百花园 
bai#huai 败坏 
bai#hui 白灰 拜会 
bai#huo 百货 
bai#huo#dian 百货店 
bai#huo#gong#si 百货公司 
bai#ji 败绩 
bai#jia#zheng#ming 百家争鸣 
bai#jia#zi 败家子 
bai#jin 白金 
bai#jin#zhu#yi 拜金主义 
bai#jiu 白酒 
bai#kai 摆开 
bai#kai#shui 白开水 
bai#ke#quan#shu 百科全书 
bai#kuo 摆阔 
bai#lang 白浪 
bai#li#chen 白立忱 
bai#lian 白莲 
bai#ling 白领 
bai#liu 白流 
bai#lu 白鹭 败露 
bai#ma 白马 
bai#man 摆满 
bai#mang#mang 白茫茫 
bai#mao 白毛 
bai#mian 白面 
bai#nei#zhang 白内障 
bai#nian 百年 拜年 
bai#nian#bu#yu 百年不遇 
bai#nian#da#ji 百年大计 
bai#nong 摆弄 
bai#pi#shu 白皮书 
bai#pu#tao#jiu 白葡萄酒 
bai#qi 白棋 摆起 
bai#qiu#en 白求恩 
bai#re#hua 白热化 
bai#ren 白人 
bai#ri 白日 
bai#se 白色 百色 
bai#se#kong#bu 白色恐怖 
bai#sha 白沙 
bai#shang 摆上 
bai#she 摆设 
bai#she#zhuan 白蛇传 
bai#shi 拜师 
bai#shou 摆手 
bai#shou#qi#jia 白手起家 
bai#shu 柏树 
bai#shui 白水 
bai#si#bu#de#qi#jie 百思不得其解 
bai#su 败诉 
bai#ta 白塔 
bai#tan 摆摊 
bai#tang 白糖 
bai#tian 白天 
bai#tiao 白条 
bai#tou 白头 
bai#tu 白兔 
bai#tuan#da#zhan 百团大战 
bai#tuo 摆脱 
bai#wan 百万 
bai#wan#fu#weng 百万富翁 
bai#wen#bu#ru#yi#jian 百闻不如一见 
bai#xing 百姓 
bai#xue 白雪 
bai#xue#ai#ai 白雪皑皑 
bai#xue#bing 白血病 
bai#yan 白眼 
bai#yang 白杨 
bai#yang#dian 白洋淀 
bai#yao 白药 
bai#ye 百业 拜谒 
bai#yi 白衣 白蚁 
bai#yi#tian#shi 白衣天使 
bai#yin 白银 
bai#you 柏油 
bai#you#lu 柏油路 
bai#yu 白玉 
bai#yun 白云 
bai#yun#shan 白云山 
bai#zai 摆在 
bai#zhe 败者 
bai#zhe#bu#nao 百折不挠 
bai#zhen 败阵 
bai#zheng 摆正 
bai#zhi 白纸 
bai#zhi#hei#zi 白纸黑字 
bai#zhou 白昼 
bai#zi 白字 
bai#zu 白族 
ban 斑 班 搬 扳 般 颁 板 版 扮 拌 伴 瓣 半 办 绊 阪 坂 钣 瘢 癍 舨 
ban#an 办案 
ban#ban 斑斑 班班 
ban#bao 办报 
ban#ben 版本 
ban#bi#jiang#shan 半壁江山 
ban#bian#tian 半边天 
ban#bo 斑驳 
ban#bu 颁布 
ban#bu#dao 办不到 
ban#cai 板材 
ban#chan 班禅 
ban#chang 伴唱 半场 办厂 
ban#che 班车 板车 
ban#cheng 半程 办成 
ban#cheng#pin 半成品 
ban#chu 搬出 办出 
ban#ci 班次 
ban#dao 搬到 半岛 办到 绊倒 
ban#dao#ti 半导体 
ban#deng 板凳 
ban#di 班底 
ban#dian 斑点 半点 
ban#dong 搬动 
ban#fa 颁发 办法 
ban#feng#jian 半封建 
ban#fu 板斧 
ban#ge 半个 
ban#gong 办公 
ban#gong#fei 办公费 
ban#gong#hui#yi 办公会议 
ban#gong#lou 办公楼 
ban#gong#shi 办公室 
ban#gong#ting 办公厅 
ban#gong#zhuo 办公桌 
ban#hao 办好 
ban#hua 版画 
ban#hui 扳回 
ban#ji 班机 班吉 班级 扳机 
ban#jia 搬家 半价 
ban#jiang 颁奖 
ban#jiao#shi 绊脚石 
ban#jie 半截 
ban#jin 搬进 
ban#jing 半径 
ban#jue#sai 半决赛 
ban#kai 半开 
ban#kan 办刊 
ban#kong 半空 
ban#kuai 板块 
ban#lai 搬来 
ban#lan 斑斓 
ban#li 班里 板栗 办理 
ban#lu 半路 
ban#lun 班轮 
ban#lv 伴侣 
ban#men#dian 板门店 
ban#mian 版面 
ban#nian 半年 
ban#ping 扳平 
ban#qi 搬起 办起 
ban#qian 搬迁 
ban#qiu 半球 
ban#quan 版权 
ban#ri 半日 
ban#ru 搬入 
ban#shang 班上 半晌 
ban#she 办社 
ban#shen 半身 
ban#shen#bu#sui 半身不遂 
ban#sheng 伴生 半生 
ban#shi 版式 办事 
ban#shi#chu 办事处 
ban#shi#yuan 办事员 
ban#shu 半数 
ban#shui 办税 
ban#sui 伴随 
ban#tian 半天 
ban#tu 版图 
ban#tu#er#fei 半途而废 
ban#tuo 办妥 
ban#wan 办完 
ban#wu 伴舞 
ban#xi#shi 办喜事 
ban#xiao 办校 
ban#xin#ban#yi 半信半疑 
ban#xing 颁行 
ban#xue 办学 
ban#yan 扮演 
ban#ye 半夜 
ban#you 伴有 
ban#yuan 半圆 
ban#yuan#xing 半圆形 
ban#yue 半月 
ban#yun 搬运 
ban#zhang 班长 
ban#zheng 颁证 办证 
ban#zhi#min#di 半殖民地 
ban#zhu#ren 班主任 
ban#zi 班子 板子 
ban#zi#dong 半自动 
ban#zou 搬走 伴奏 
ban#zu 班组 
bang 邦 帮 梆 榜 膀 绑 棒 磅 蚌 镑 傍 谤 蒡 浜 
bang#ban 帮办 
bang#da 邦达 
bang#dai 帮带 
bang#fu 帮扶 
bang#gong 帮工 
bang#jia 绑架 
bang#jiao 邦交 帮教 
bang#kun 帮困 
bang#lian 邦联 
bang#mang 帮忙 
bang#qiu 棒球 
bang#shang#wu#ming 榜上无名 
bang#shang#you#ming 榜上有名 
bang#shou 帮手 榜首 
bang#wan 傍晚 
bang#wo 帮我 
bang#yang 榜样 
bang#zhu 帮助 
bang#zi 梆子 膀子 棒子 
bao 苞 胞 包 褒 剥 薄 雹 保 堡 饱 宝 抱 报 暴 豹 鲍 爆 刨 炮 曝 瀑 葆 孢 煲 鸨 褓 趵 龅 
bao#an 保安 报案 
bao#an#qu 宝安区 
bao#ban 包办 
bao#bao 薄薄 宝宝 
bao#bei 宝贝 
bao#ben 保本 
bao#bi 包庇 
bao#bian 褒贬 
bao#biao 保镖 报表 
bao#chan#dao#hu 包产到户 
bao#chang 饱尝 报偿 
bao#chao 包抄 
bao#che 包车 
bao#chi 保持 
bao#chi#zhe 保持者 
bao#chou 报酬 
bao#chu 报出 爆出 
bao#chun 报春 
bao#cun 包村 保存 
bao#da 报答 
bao#dan 保单 
bao#dao 宝岛 报到 报道 
bao#dao#bu#lao 宝刀不老 
bao#di 胞弟 宝地 
bao#die 暴跌 
bao#ding 保定 抱定 
bao#dong 暴动 
bao#duan 报端 
bao#e 保额 
bao#fa 暴发 爆发 
bao#fa#hu 暴发户 
bao#fa#li 爆发力 
bao#fang 包房 
bao#fei 保费 报废 
bao#feng#xue 暴风雪 
bao#feng#yu 暴风雨 
bao#fu 包扶 包袱 抱负 报复 暴富 
bao#gan 包干 
bao#gang 宝钢 
bao#gao 报告 
bao#gao#hui 报告会 
bao#gao#shu 报告书 
bao#gao#tuan 报告团 
bao#gao#wen#xue 报告文学 
bao#gei 包给 
bao#gong 包工 包公 
bao#guan 保管 报关 
bao#guang 曝光 
bao#gui 宝贵 
bao#guo 包裹 报国 
bao#han 包含 包涵 饱含 
bao#hao 包好 
bao#he 饱和 
bao#hu 保护 
bao#hu#guo 保护国 
bao#hu#jia 保护价 
bao#hu#qu 保护区 
bao#hu#ren 保护人 
bao#hu#san 保护伞 
bao#hu#xing 保护性 
bao#huan 包换 
bao#hui 抱回 
bao#ji 包机 保级 宝鸡 
bao#jia 保价 报价 
bao#jia#li#ya 保加利亚 
bao#jian 保健 宝剑 
bao#jian#pin 保健品 
bao#jiang 褒奖 
bao#jie 保洁 报捷 报界 
bao#jing 饱经 报警 
bao#jing#feng#shuang 饱经风霜 
bao#jing#qi 报警器 
bao#kan 报刊 
bao#kao 报考 
bao#ku 宝库 
bao#kuo 包括 
bao#lan 包揽 饱览 报栏 
bao#lei 堡垒 
bao#leng 爆冷 
bao#leng#men 爆冷门 
bao#li 包里 保利 暴利 暴力 
bao#li#duo#xiao 薄利多销 
bao#lie 爆裂 
bao#ling#qiu 保龄球 
bao#liu 保留 
bao#lu 暴露 
bao#luan 暴乱 
bao#luo#wan#xiang 包罗万象 
bao#ma 宝马 
bao#man 饱满 爆满 
bao#mi 苞米 保密 
bao#mi#xing 保密性 
bao#ming 报名 
bao#mu 保姆 
bao#nuan 保暖 
bao#po 爆破 
bao#qi 抱起 
bao#qi#lai 包起来 
bao#qian 抱歉 
bao#qing 报请 
bao#quan 保全 
bao#ren 报人 
bao#rong 包容 
bao#shan 保山 宝山 
bao#shan#qu 宝山区 
bao#shang 报上 
bao#she 报社 
bao#shi 保释 宝石 报时 
bao#shou 保守 饱受 
bao#shou#dang 保守党 
bao#shou#pai 保守派 
bao#shui 保水 保税 报税 
bao#shui#qu 保税区 
bao#song 保送 报送 
bao#ta 宝塔 
bao#tan 报摊 
bao#tou 包头 抱头 
bao#tu 暴徒 
bao#wei 包围 保卫 
bao#wei#quan 包围圈 
bao#wei#zhan 保卫战 
bao#wen 保温 
bao#wu 宝物 
bao#xi 报喜 
bao#xian 保鲜 保险 
bao#xian#dan 保险单 
bao#xian#fei 保险费 
bao#xian#gong#si 保险公司 
bao#xian#gui 保险柜 
bao#xian#jin 保险金 
bao#xian#xiang 保险箱 
bao#xian#ye 保险业 
bao#xiang 包厢 
bao#xiao 包销 报销 报晓 报效 
bao#xing 暴行 
bao#xiu 保修 报修 
bao#xiu#qi 保修期 
bao#yang 褒扬 保养 
bao#ye 报业 
bao#yi 包衣 
bao#yi#bo 薄一波 
bao#ying 报应 
bao#you 保有 保佑 抱有 
bao#yu 保育 宝玉 暴雨 鲍鱼 
bao#yuan 抱怨 
bao#za 包扎 
bao#zang 宝藏 
bao#zha 爆炸 
bao#zha#wu 爆炸物 
bao#zha#xing 爆炸性 
bao#zhang 保障 报章 暴涨 
bao#zhen 保真 
bao#zheng 保证 
bao#zheng#jin 保证金 
bao#zheng#ren 保证人 
bao#zheng#shu 保证书 
bao#zhi 保值 保质 报纸 
bao#zhi#qi 保质期 
bao#zhong 保重 
bao#zhu 保住 抱住 爆竹 
bao#zhuang 包装 
bao#zhuang#dai 包装袋 
bao#zi 包子 
bao#zu 包租 
bao#zuo 宝座 
bei 杯 碑 悲 卑 北 辈 背 贝 钡 倍 狈 备 惫 焙 被 臂 孛 陂 蓓 呗 悖 碚 褙 鐾 
bei#ai 悲哀 
bei#ai#er#lan 北爱尔兰 
bei#an 北岸 备案 
bei#ban#qiu 北半球 
bei#bao 背包 
bei#bao#fu 背包袱 
bei#bao#xian#ren 被保险人 
bei#bian 北边 
bei#bing#yang 北冰洋 
bei#bu 北部 背部 被捕 
bei#bu#wan 北部湾 
bei#can 悲惨 
bei#ce 北侧 
bei#cha 备查 
bei#chao 北朝 
bei#chu 辈出 
bei#chuang 悲怆 
bei#ci 被刺 
bei#da 北大 
bei#da#huang 北大荒 
bei#da#xi#yang 北大西洋 
bei#dai#he 北戴河 
bei#dan 被单 
bei#dao 北岛 被盗 
bei#dao#an 被盗案 
bei#dao#er#chi 背道而驰 
bei#dong 被动 
bei#dou 北斗 
bei#duan 北端 北段 
bei#er 贝尔 
bei#er#ge#lai#de 贝尔格莱德 
bei#fa 北伐 
bei#fa#zhan#zheng 北伐战争 
bei#fang 北方 
bei#fang#ren 北方人 
bei#fei 北非 
bei#fen 悲愤 
bei#feng 北风 
bei#fu 背负 被俘 
bei#gan 倍感 
bei#gao 被告 
bei#gao#ren 被告人 
bei#gao#xi 被告席 
bei#ge 悲歌 
bei#geng 备耕 
bei#guan 悲观 
bei#guo 北国 
bei#hai 北海 被害 
bei#hai#dao 北海道 
bei#hai#ren 被害人 
bei#hao 备好 
bei#he 北河 
bei#hou 背后 
bei#huan 悲欢 
bei#huan#li#he 悲欢离合 
bei#ji 北极 
bei#ji#quan 北极圈 
bei#jia 倍加 
bei#jian 备件 
bei#jiang 北疆 
bei#jiao 北郊 
bei#jie 北街 
bei#jing 北京 背景 
bei#jing#da#xue 北京大学 
bei#jing#hua 北京话 
bei#jing#li#xiang 背井离乡 
bei#jing#ren 北京人 
bei#jing#ri#bao 北京日报 
bei#jing#shi#jian 北京时间 
bei#jing#zhan 北京站 
bei#ju 悲剧 
bei#kao 背靠 
bei#ke 碑刻 贝壳 备课 
bei#lei 贝类 
bei#li 背离 贝利 
bei#liang 悲凉 
bei#lie 卑劣 
bei#lin 碑林 
bei#liu 北流 
bei#lou 背篓 
bei#lu 北路 
bei#lu#te 贝鲁特 
bei#lun 北仑 
bei#mei 北美 
bei#mei#zhou 北美洲 
bei#men 北门 
bei#mian 北面 背面 被面 
bei#ning 贝宁 
bei#ou 北欧 
bei#pan 背叛 
bei#piao 北票 
bei#ping 北平 
bei#po 被迫 
bei#qi 背起 背弃 备齐 
bei#qie 被窃 
bei#qu 北区 
bei#ru 被褥 
bei#sai 杯赛 
bei#shan 北山 
bei#shang 悲伤 北上 背上 
bei#shi 北市 
bei#shou 备受 
bei#shu 背书 
bei#shui#che#xin 杯水车薪 
bei#shui#yi#zhan 背水一战 
bei#song 北宋 背诵 
bei#ta β 
bei#tie 碑帖 
bei#tong 悲痛 悲恸 
bei#tong#yu#jue 悲痛欲绝 
bei#tou 被偷 
bei#wang#lu 备忘录 
bei#wei 北纬 北魏 
bei#wen 碑文 
bei#wo 被窝 
bei#xin 背心 
bei#xuan#ju#quan 被选举权 
bei#yang 北洋 
bei#ying 背影 
bei#yong 备用 
bei#you 备有 
bei#yue 北约 
bei#zeng 倍增 
bei#zhan 北站 备战 被占 
bei#zhan#ling#tu 被占领土 
bei#zhong 杯中 
bei#zhuang 悲壮 
bei#zi 杯子 辈子 被子 
bei#zu 备足 
ben 奔 苯 本 笨 夯 畚 坌 贲 锛 
ben#an 本案 
ben#ban 本版 
ben#bao 本报 
ben#bao#xun 本报讯 
ben#ben 本本 
ben#bi 本币 
ben#bo 奔波 
ben#bu 本部 
ben#chang 本场 
ben#chi 奔驰 
ben#ci 本次 
ben#cun 本村 
ben#dang 本党 
ben#dao 本岛 
ben#di 本地 
ben#di#qu 本地区 
ben#di#ren 本地人 
ben#fa 本法 
ben#fang 奔放 
ben#fen 本分 
ben#fu 奔赴 
ben#gai 本该 
ben#gong#si 本公司 
ben#guo 本国 
ben#hang 本行 
ben#ji 本级 
ben#jie 本届 
ben#jin 本金 
ben#ke 本科 
ben#ke#sheng 本科生 
ben#lai 奔来 本来 
ben#lai#mian#mu 本来面目 
ben#li 本利 
ben#ling 本领 
ben#liu 奔流 
ben#lun 本轮 
ben#mang 奔忙 
ben#ming 本名 
ben#mo#dao#zhi 本末倒置 
ben#neng 本能 
ben#pao 奔跑 
ben#pian 本片 
ben#qi 本期 
ben#qian 本钱 
ben#qu 奔去 本区 
ben#ren 本人 
ben#sai 本赛 
ben#sang 奔丧 
ben#se 本色 
ben#shang 本上 
ben#shen 本身 
ben#sheng 本省 
ben#shi 本事 本市 
ben#shi#ji 本世纪 
ben#shu 本书 
ben#teng 奔腾 
ben#ti 本体 
ben#tian 本田 
ben#tiao 本条 
ben#tou 奔头 
ben#tu 本土 
ben#wei 本位 
ben#wei#zhu#yi 本位主义 
ben#wen 本文 
ben#xi 本息 本溪 
ben#xian 本县 
ben#xiang 奔向 本乡 
ben#xiao 本校 
ben#xing 本性 
ben#yi 本意 本义 
ben#yong 奔涌 
ben#yuan 本院 
ben#yue 本月 
ben#yue#di 本月底 
ben#zhe 本着 
ben#zhen 本镇 
ben#zhi 本职 本质 
ben#zhong 笨重 
ben#zhou 本周 
ben#zhuo 笨拙 
ben#zi 本子 
ben#zou 奔走 
ben#zou#xiang#gao 奔走相告 
beng 蚌 崩 绷 甭 泵 蹦 迸 嘣 甏 
beng#beng#tiao#tiao 蹦蹦跳跳 
beng#bu 蚌埠 
beng#dai 绷带 
beng#fa 迸发 
beng#guan 甭管 
beng#jin 绷紧 
beng#kui 崩溃 
beng#ta 崩塌 
beng#zhan 泵站 
bi Ｂ β 逼 鼻 比 鄙 笔 彼 碧 蓖 蔽 毕 毙 毖 币 庇 痹 闭 敝 弊 必 辟 壁 臂 避 陛 秘 泌 匕 俾 荜 荸 萆 薜 吡 哔 愎 滗 濞 弼 婢 璧 贲 畀 铋 秕 裨 筚 箅 篦 襞 跸 髀 
bi#an 彼岸 
bi#bang 臂膀 
bi#bei 必备 
bi#bi 比比 
bi#bi#jie#shi 比比皆是 
bi#bing 弊病 
bi#bo 碧波 
bi#bu#ke#shao 必不可少 
bi#bu#shang 比不上 
bi#chu 笔触 
bi#chu#lai 逼出来 
bi#ci 彼此 
bi#de 彼得 必得 
bi#diao 笔调 
bi#ding 必定 
bi#du 必读 
bi#duan 笔端 弊端 
bi#dui 比对 
bi#fa 笔法 
bi#fang 比方 
bi#fen 比分 
bi#feng 避风 
bi#feng#gang 避风港 
bi#gan 笔杆 
bi#gao 比高 
bi#geng 笔耕 
bi#geng#bu#chuo 笔耕不辍 
bi#gua 壁挂 
bi#guan#suo#guo 闭关锁国 
bi#guan#zi#shou 闭关自守 
bi#hai 碧海 
bi#he 逼和 
bi#hu 庇护 
bi#hua 比划 笔画 壁画 
bi#hui 笔会 闭会 
bi#ji 笔迹 笔记 
bi#ji#ben 笔记本 
bi#jia 比价 
bi#jia#suo 毕加索 
bi#jian 比肩 
bi#jiang 必将 
bi#jiao 比较 
bi#jin 逼近 
bi#jing 毕竟 必经 
bi#kai 避开 
bi#kong 鼻孔 碧空 
bi#kou 闭口 
bi#lan 碧蓝 
bi#le#tuo#li#ya 比勒陀利亚 
bi#lei 壁垒 
bi#li 比例 笔力 
bi#li#shi 比利时 
bi#liang 鼻梁 
bi#lu 笔录 秘鲁 
