a1 啊 阿 腌 锕 
a1#ba4 阿爸 
bai3#fen1#zhi1#bai3 百分之百 
bai3#fen1#zhi1#yi1 百分之一 
bai3#fen1#zhi4 百分制 
bai3#gan3#jiao1#ji2 百感交集 
bai3#ge3#zheng1#liu2 百舸争流 
bai3#hao3 摆好 
bai3#he2 百合 
bai3#hua1 百花 
bai3#hua1#qi2#fang4 百花齐放 
bai3#hua1#yuan2 百花园 
bai3#huo4 百货 
bai3#huo4#dian4 百货店 
bai3#huo4#gong1#si1 百货公司 
bai3#jia1#zheng1#ming2 百家争鸣 
bai3#kai1 摆开 
bai3#ke1#quan2#shu1 百科全书 
bai3#kuo4 摆阔 
bai3#man3 摆满 
bai3#nian2 百年 
bai3#nian2#bu2#yu4 百年不遇 
bai3#nian2#da4#ji4 百年大计 
bai3#nong4 摆弄 
bai3#qi3 摆起 
bai3#se4 百色 
bai3#shang4 摆上 
bai3#she4 摆设 
bai3#shou3 摆手 
bai3#shu4 柏树 
bai3#si1#bu4#de2#qi2#jie3 百思不得其解 
bai3#tan1 摆摊 
bai3#tuan2#da4#zhan4 百团大战 
bai3#tuo1 摆脱 
bai3#wan4 百万 
bai3#wan4#fu4#weng1 百万富翁 
bai3#wen2#bu4#ru2#yi1#jian4 百闻不如一见 
bai3#xing4 百姓 
bai3#ye4 百业 
bai3#you2 柏油 
bai3#you2#lu4 柏油路 
bai3#zai4 摆在 
bai3#zhe2#bu4#nao2 百折不挠 
bai3#zheng4 摆正 
bai4 败 拜 稗 呗 
bai4#bai4 拜拜 
bai4#bei3 败北 
bai4#bu4#nei3 败不馁 
bai4#fang3 拜访 
bai4#fo2 拜佛 
bai4#gei3 败给 
bai4#huai4 败坏 
bai4#hui4 拜会 
bai4#ji1 败绩 
bai4#jia1#zi3 败家子 
bai4#jin1#zhu3#yi4 拜金主义 
bai4#lu4 败露 
bai4#nian2 拜年 
bai4#shi1 拜师 
bai4#su4 败诉 
bai4#ye4 拜谒 
bai4#zhe3 败者 
bai4#zhen4 败阵 
bai5 白 摆 拜 伯 
ban1 斑 班 搬 扳 般 颁 瘢 癍 
ban1#ban1 斑斑 班班 
ban1#bo2 斑驳 
ban1#bu4 颁布 
ban1#chan2 班禅 
ban1#che1 班车 
ban1#chu1 搬出 
ban1#ci4 班次 
ban1#dao4 搬到 
ban1#di3 班底 
ban1#dian3 斑点 
ban1#dong4 搬动 
ban1#fa1 颁发 
ban1#hui2 扳回 
ban1#ji1 班机 扳机 
ban1#ji2 班吉 班级 
ban1#jia1 搬家 
ban1#jiang3 颁奖 
ban1#jin4 搬进 
ban1#lai2 搬来 
ban1#lan2 斑斓 
ban1#li3 班里 
ban1#lun2 班轮 
ban1#ping2 扳平 
ban1#qi3 搬起 
ban1#qian1 搬迁 
ban1#ru4 搬入 
ban1#shang4 班上 
ban1#xing2 颁行 
ban1#yun4 搬运 
ban1#zhang3 班长 
ban1#zheng4 颁证 
ban1#zhu3#ren4 班主任 
ban1#zi5 班子 
ban1#zou3 搬走 
ban1#zu3 班组 
ban3 板 版 阪 坂 钣 舨 
ban3#ben3 版本 
ban3#cai2 板材 
ban3#che1 板车 
ban3#deng4 板凳 
ban3#fu3 板斧 
ban3#hua4 版画 
ban3#kuai4 板块 
ban3#li4 板栗 
ban3#men2#dian4 板门店 
ban3#mian4 版面 
ban3#quan2 版权 
ban3#shi4 版式 
ban3#tu2 版图 
ban3#zi5 板子 
ban4 扮 拌 伴 瓣 半 办 绊 
ban4#an4 办案 
ban4#bao4 办报 
ban4#bi4#jiang1#shan1 半壁江山 
ban4#bian1#tian1 半边天 
ban4#bu4#dao4 办不到 
ban4#chang3 半场 办厂 
ban4#chang4 伴唱 
ban4#cheng2 半程 办成 
ban4#cheng2#pin3 半成品 
ban4#chu1 办出 
ban4#dao3 半岛 绊倒 
ban4#dao3#ti3 半导体 
ban4#dao4 办到 
ban4#dian3 半点 
ban4#fa3 办法 
ban4#feng1#jian4 半封建 
ban4#ge4 半个 
ban4#gong1 办公 
ban4#gong1#fei4 办公费 
ban4#gong1#hui4#yi4 办公会议 
ban4#gong1#lou2 办公楼 
ban4#gong1#shi4 办公室 
ban4#gong1#ting1 办公厅 
ban4#gong1#zhuo1 办公桌 
ban4#hao3 办好 
ban4#jia4 半价 
ban4#jiao3#shi2 绊脚石 
ban4#jie2 半截 
ban4#jing4 半径 
ban4#jue2#sai4 半决赛 
ban4#kai1 半开 
ban4#kan1 办刊 
ban4#kong1 半空 
ban4#li3 办理 
ban4#lu4 半路 
ban4#lv3 伴侣 
ban4#nian2 半年 
ban4#qi3 办起 
ban4#qiu2 半球 
ban4#ri4 半日 
ban4#shang3 半晌 
ban4#she4 办社 
ban4#shen1 半身 
ban4#shen1#bu4#sui2 半身不遂 
ban4#sheng1 伴生 半生 
ban4#shi4 办事 
ban4#shi4#chu4 办事处 
ban4#shi4#yuan2 办事员 
ban4#shu4 半数 
ban4#shui4 办税 
ban4#sui2 伴随 
ban4#tian1 半天 
ban4#tu2#er2#fei4 半途而废 
ban4#tuo3 办妥 
ban4#wan2 办完 
ban4#wu3 伴舞 
ban4#xi3#shi4 办喜事 
ban4#xiao4 办校 
ban4#xin4#ban4#yi2 半信半疑 
ban4#xue2 办学 
ban4#yan3 扮演 
ban4#ye4 半夜 
ban4#you3 伴有 
ban4#yuan2 半圆 
ban4#yuan2#xing2 半圆形 
ban4#yue4 半月 
ban4#zheng4 办证 
ban4#zhi2#min2#di4 半殖民地 
ban4#zi4#dong4 半自动 
ban4#zou4 伴奏 
ban5 搬 般 扮 拌 办 绊 
bang1 邦 帮 梆 浜 
bang1#ban4 帮办 
bang1#da2 邦达 
bang1#dai4 帮带 
bang1#fu2 帮扶 
bang1#gong1 帮工 
bang1#jiao1 邦交 帮教 
bang1#kun4 帮困 
bang1#lian2 邦联 
bang1#mang2 帮忙 
bang1#shou3 帮手 
bang1#wo3 帮我 
bang1#zhu4 帮助 
bang1#zi5 梆子 
bang3 榜 膀 绑 
bang3#jia4 绑架 
bang3#shang4#wu2#ming2 榜上无名 
bang3#shang4#you3#ming2 榜上有名 
bang3#shou3 榜首 
bang3#yang4 榜样 
bang3#zi5 膀子 
bang4 膀 棒 磅 蚌 镑 傍 谤 蒡 
bang4#qiu2 棒球 
bang4#wan3 傍晚 
bang4#zi5 棒子 
bang5 帮 棒 
bao1 苞 胞 包 褒 剥 炮 孢 煲 龅 
bao1#ban4 包办 
bao1#bi4 包庇 
bao1#bian3 褒贬 
bao1#chan3#dao4#hu4 包产到户 
bao1#chao1 包抄 
bao1#che1 包车 
bao1#cun1 包村 
bao1#di4 胞弟 
bao1#fang2 包房 
bao1#fu2 包扶 
bao1#fu5 包袱 
bao1#gan1 包干 
bao1#gei3 包给 
bao1#gong1 包工 包公 
bao1#guo3 包裹 
bao1#han2 包含 包涵 
bao1#hao3 包好 
bao1#huan4 包换 
bao1#ji1 包机 
bao1#jiang3 褒奖 
bao1#kuo4 包括 
bao1#lan3 包揽 
bao1#li3 包里 
bao1#luo2#wan4#xiang4 包罗万象 
bao1#mi3 苞米 
bao1#qi3#lai2 包起来 
bao1#rong2 包容 
bao1#tou5 包头 
bao1#wei2 包围 
bao1#wei2#quan1 包围圈 
bao1#xiang1 包厢 
bao1#xiao1 包销 
bao1#yang2 褒扬 
bao1#yi1 包衣 
bao1#za1 包扎 
bao1#zhuang1 包装 
bao1#zhuang1#dai4 包装袋 
bao1#zi5 包子 
bao1#zu1 包租 
bao2 薄 雹 
bao2#bao2 薄薄 
bao2#li4#duo1#xiao1 薄利多销 
bao2#yi1#bo1 薄一波 
bao3 保 堡 饱 宝 葆 鸨 褓 
bao3#an1 保安 
bao3#an1#qu1 宝安区 
bao3#bao5 宝宝 
bao3#bei4 宝贝 
bao3#ben3 保本 
bao3#biao1 保镖 
bao3#chang2 饱尝 
bao3#chi2 保持 
bao3#chi2#zhe3 保持者 
bao3#cun2 保存 
bao3#dan1 保单 
bao3#dao1#bu4#lao3 宝刀不老 
bao3#dao3 宝岛 
bao3#di4 宝地 
bao3#ding4 保定 
bao3#e2 保额 
bao3#fei4 保费 
bao3#gang1 宝钢 
bao3#guan3 保管 
bao3#gui4 宝贵 
bao3#han2 饱含 
bao3#he2 饱和 
bao3#hu4 保护 
bao3#hu4#guo2 保护国 
bao3#hu4#jia4 保护价 
bao3#hu4#qu1 保护区 
bao3#hu4#ren2 保护人 
bao3#hu4#san3 保护伞 
bao3#hu4#xing4 保护性 
bao3#ji1 宝鸡 
bao3#ji2 保级 
bao3#jia1#li4#ya4 保加利亚 
bao3#jia4 保价 
bao3#jian4 保健 宝剑 
bao3#jian4#pin3 保健品 
bao3#jie2 保洁 
bao3#jing1 饱经 
bao3#jing1#feng1#shuang1 饱经风霜 
bao3#ku4 宝库 
bao3#lan3 饱览 
bao3#lei3 堡垒 
bao3#li4 保利 
bao3#ling2#qiu2 保龄球 
bao3#liu2 保留 
bao3#ma3 宝马 
bao3#man3 饱满 
bao3#mi4 保密 
bao3#mi4#xing4 保密性 
bao3#mu3 保姆 
bao3#nuan3 保暖 
bao3#quan2 保全 
bao3#shan1 保山 宝山 
bao3#shan1#qu1 宝山区 
bao3#shi2 宝石 
bao3#shi4 保释 
bao3#shou3 保守 
bao3#shou3#dang3 保守党 
bao3#shou3#pai4 保守派 
bao3#shou4 饱受 
bao3#shui3 保水 
bao3#shui4 保税 
bao3#shui4#qu1 保税区 
bao3#song4 保送 
bao3#ta3 宝塔 
bao3#wei4 保卫 
bao3#wei4#zhan4 保卫战 
bao3#wen1 保温 
bao3#wu4 宝物 
bao3#xian1 保鲜 
bao3#xian3 保险 
bao3#xian3#dan1 保险单 
bao3#xian3#fei4 保险费 
bao3#xian3#gong1#si1 保险公司 
bao3#xian3#gui4 保险柜 
bao3#xian3#jin1 保险金 
bao3#xian3#xiang1 保险箱 
bao3#xian3#ye4 保险业 
bao3#xiu1 保修 
bao3#xiu1#qi1 保修期 
bao3#yang3 保养 
bao3#you3 保有 
bao3#you4 保佑 
bao3#yu4 保育 宝玉 
bao3#zang4 宝藏 
bao3#zhang4 保障 
bao3#zhen1 保真 
bao3#zheng4 保证 
bao3#zheng4#jin1 保证金 
bao3#zheng4#ren2 保证人 
bao3#zheng4#shu1 保证书 
bao3#zhi2 保值 
bao3#zhi4 保质 
bao3#zhi4#qi1 保质期 
bao3#zhong4 保重 
bao3#zhu4 保住 
bao3#zuo4 宝座 
bao4 抱 报 暴 豹 鲍 爆 刨 曝 瀑 趵 
bao4#an4 报案 
bao4#biao3 报表 
bao4#chang2 报偿 
bao4#chou2 报酬 
bao4#chu1 报出 爆出 
bao4#chun1 报春 
bao4#da2 报答 
bao4#dao4 报到 报道 
bao4#die1 暴跌 
bao4#ding4 抱定 
bao4#dong4 暴动 
bao4#duan1 报端 
bao4#fa1 暴发 爆发 
bao4#fa1#hu4 暴发户 
bao4#fa1#li4 爆发力 
bao4#fei4 报废 
bao4#feng1#xue3 暴风雪 
bao4#feng1#yu3 暴风雨 
bao4#fu4 抱负 报复 暴富 
bao4#gao4 报告 
bao4#gao4#hui4 报告会 
bao4#gao4#shu1 报告书 
bao4#gao4#tuan2 报告团 
bao4#gao4#wen2#xue2 报告文学 
bao4#guan1 报关 
bao4#guang1 曝光 
bao4#guo2 报国 
bao4#hui2 抱回 
bao4#jia4 报价 
bao4#jie2 报捷 
bao4#jie4 报界 
bao4#jing3 报警 
bao4#jing3#qi4 报警器 
bao4#kan1 报刊 
bao4#kao3 报考 
bao4#lan2 报栏 
bao4#leng3 爆冷 
bao4#leng3#men2 爆冷门 
bao4#li4 暴利 暴力 
bao4#lie4 爆裂 
bao4#lu4 暴露 
bao4#luan4 暴乱 
bao4#man3 爆满 
bao4#ming2 报名 
bao4#po4 爆破 
bao4#qi3 抱起 
bao4#qian4 抱歉 
bao4#qing3 报请 
bao4#ren2 报人 
bao4#shang4 报上 
bao4#she4 报社 
bao4#shi2 报时 
bao4#shui4 报税 
bao4#song4 报送 
bao4#tan1 报摊 
bao4#tou2 抱头 
bao4#tu2 暴徒 
bao4#xi3 报喜 
bao4#xiao1 报销 
bao4#xiao3 报晓 
bao4#xiao4 报效 
bao4#xing2 暴行 
bao4#xiu1 报修 
bao4#ye4 报业 
bao4#ying5 报应 
bao4#you3 抱有 
bao4#yu2 鲍鱼 
bao4#yu3 暴雨 
bao4#yuan4 抱怨 
bao4#zha4 爆炸 
bao4#zha4#wu4 爆炸物 
bao4#zha4#xing4 爆炸性 
bao4#zhang1 报章 
bao4#zhang3 暴涨 
bao4#zhi3 报纸 
bao4#zhu2 爆竹 
bao4#zhu4 抱住 
bao5 包 宝 抱 报 暴 
bei1 杯 碑 悲 卑 背 陂 
bei1#ai1 悲哀 
bei1#bao1 背包 
bei1#bao1#fu2 背包袱 
bei1#can3 悲惨 
bei1#chuang4 悲怆 
bei1#fen4 悲愤 
bei1#fu4 背负 
bei1#ge1 悲歌 
bei1#guan1 悲观 
bei1#huan1 悲欢 
bei1#huan1#li2#he2 悲欢离合 
bei1#ju4 悲剧 
bei1#kao4 背靠 
bei1#ke4 碑刻 
bei1#liang2 悲凉 
bei1#lie4 卑劣 
bei1#lin2 碑林 
bei1#lou3 背篓 
bei1#qi3 背起 
bei1#sai4 杯赛 
bei1#shang1 悲伤 
bei1#shang4 背上 
bei1#shu1 背书 
bei1#shui3#che1#xin1 杯水车薪 
bei1#tie4 碑帖 
bei1#tong4 悲痛 悲恸 
bei1#tong4#yu4#jue2 悲痛欲绝 
bei1#wen2 碑文 
bei1#zhong1 杯中 
bei1#zhuang4 悲壮 
bei1#zi5 杯子 
bei2#ta1 β 
bei3 北 
bei3#ai4#er3#lan2 北爱尔兰 
bei3#an4 北岸 
bei3#ban4#qiu2 北半球 
bei3#bian1 北边 
bei3#bing1#yang2 北冰洋 
bei3#bu4 北部 
bei3#bu4#wan1 北部湾 
bei3#ce4 北侧 
bei3#chao2 北朝 
bei3#da4 北大 
bei3#da4#huang1 北大荒 
bei3#da4#xi1#yang2 北大西洋 
